source_folder,relative_path,size_bytes,modified_timestamp,extension_or_type,sha256,text_or_binary,asset_class,safe_to_publish,proposed_action,action_reason,secret_findings,prompt_injection_terms,home_paths_found
cleanup_20260506_final_code_artifact_cleanup,.DS_Store,10244,2026-07-24T08:48:34.216252+05:30,no-extension,b3ddcbf274ecd5794787483d37dc205d288e132f34bd72cbba4e2cb2280fc313,binary,unknown,no,exclude,operating-system metadata,,,0
cleanup_20260506_final_code_artifact_cleanup,CLEANUP_PLAN.md,4398,2026-05-06T12:22:38.034856+05:30,.md,15ffb0debe060206354d3ec0db7bb72b3fa2645d6b4042f1179e284725185cb4,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/.DS_Store,8196,2026-06-10T15:05:37.174138+05:30,no-extension,ff07b17ddf2db5a1d9ccd4b18392ec62953dfc2df4a3597bc55362c5e7d1a7d7,binary,unknown,no,exclude,operating-system metadata,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/CLAIMS_AUDIT.md,4133,2026-05-05T23:41:57+05:30,.md,6e21a850d08cf99142d059145c3d05f97e7c8661d8d1babac7413a00efd0f9ed,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/README.md,1778,2026-05-05T23:41:57+05:30,.md,352968933ac409eb6c6048f706cbd385d8a2d40920ba5f14301262185a9345c4,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/README_REPRODUCE.md,3461,2026-05-05T23:41:57+05:30,.md,cd57821b890efc7b95aeb1e5470212aee4383a1b52545a15d6fc59e30c68213e,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/SOURCE_TRACE.md,2924,2026-05-05T23:41:57+05:30,.md,307bb760ddc8307f2adf118253ec6c4b55cf1e1f4fb8fa3e22f6180cfd8743ca,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/artifact_manifest.md,2992,2026-05-05T23:41:57+05:30,.md,56994b715cbad5fc6b58df1415e4c18bc7e94a30eb7fa1607fd00c8695707d92,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/controlledrag_reporting_checklist.md,3016,2026-05-05T23:41:57+05:30,.md,f8e595287e8a52cdb3ba24c787283a9aea4232c513c2b62c6db9f58d33593366,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/.DS_Store,6148,2026-06-10T15:05:32.159827+05:30,no-extension,a3c333ec5a2e9eab71da97ade3f2e56774d9361a6aaf13ab37393fd1262d73c0,binary,unknown,no,exclude,operating-system metadata,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/README.md,2564,2026-05-05T16:01:24+05:30,.md,30d041d1f70d2b3a43d7b00fcced2a1a2717ffcb58609072327ffcaec1e158af,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/_rejected.jsonl,29947,2026-05-05T16:01:24+05:30,.jsonl,fb51eb203d27aa99c1adc4a9448f5c0a79aceef1790c3facf014458153e54d7d,text,data,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/contradict.jsonl,16366,2026-05-05T16:01:24+05:30,.jsonl,a8119d9f27f96b952d8a01cd992f599d38c90c2669b93ee966bbf9b99e67f6df,text,data,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/control.jsonl,35782,2026-05-05T16:01:24+05:30,.jsonl,deeb0dc7092e2ba646b18badc0ae5b984463bec49c5c7b6d962445fe68d754dd,text,data,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/disjoint.jsonl,45355,2026-05-05T16:01:24+05:30,.jsonl,abdf94e13c8c6430f7760350542c0c31dbaa69507f5f3f6b34cdfda3a10b5e75,text,data,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/drift.jsonl,57006,2026-05-05T16:01:24+05:30,.jsonl,c1f3c64e333b996fcc0d534425eb67cbc63ae644517389078f2514f814148003,text,data,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/benchmark/README.md,2430,2026-05-05T16:01:24+05:30,.md,871e88a71153ad814f600c9ebbb37e1defdf2ef6efb735b4a862f33bd333b8af,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/revision/fix_06/per_query_compact.csv,60148,2026-05-05T23:41:57+05:30,.csv,21f9d0c97c80c964ffc4ae42916df5a09898e862e332bddcd0779f1161fe1962,text,data,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/analyze_human_eval.py,4961,2026-05-05T16:01:24+05:30,.py,572ce40b888df1624156b800c73955c92b8e157e1ea931f2e74db8cea4f2317b,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/analyze_prolific_results.py,9300,2026-05-05T16:01:24+05:30,.py,e3f8ea01549ce373a4b6816231a7180fefbdbc6c71d7d1fd2332c985a509c5da,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/build_human_eval_samples.py,7879,2026-05-05T16:01:24+05:30,.py,e3040994caab434ee3619d544e90ff0bd135855c0be31e6cf79fb857eded6150,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/fix_01_causal_matched_pairs.py,37811,2026-05-05T23:38:56+05:30,.py,625cb386d70c05d027c2f7137a66870aaeae59cb61ff2089648d1e3c24b69fa4,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/fix_02_scaled_headline_n500.py,12874,2026-05-05T23:38:59+05:30,.py,94f28324a7f60fb6705074e76759c1664e28e4e13a9de5476b2bd471b35ebfa4,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/fix_03_multimetric_faithfulness.py,9358,2026-05-05T23:39:02+05:30,.py,3d895d2046e0c50f821d28dd4d07f0b555e2e199490cdfaf3305aeb9d5e22eb6,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/fix_04_tau_generalization.py,8969,2026-05-05T23:39:05+05:30,.py,a7118cc7323c9e3614bdfc80569b33b7b28904bfccec5046d54133abc0d9e9c3,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/fix_05_coherence_preserving_noise.py,8316,2026-05-05T23:39:10+05:30,.py,9cd425dfc1ee6638dfd7973c89bef3d150c9b871337e927679909d737c88b8ca,text,source,yes,include,publication-safe under automated gate,,,0
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/experiments/fix_06_baseline_h2h_pareto.py,8869,2026-05-05T23:39:13+05:30,.py,392496ce51162469b39988bc5998ac65603a41cdd1217e56a699a7d5e8e646b1,text,source,yes,include,publication-safe under automated gate,,,0
