source_folder,extension_or_type,asset_class,file_count
cleanup_20260506_final_code_artifact_cleanup,.csv,data,59
cleanup_20260506_final_code_artifact_cleanup,.csv,result,954
cleanup_20260506_final_code_artifact_cleanup,.json,log,42
cleanup_20260506_final_code_artifact_cleanup,.json,unknown,63
cleanup_20260506_final_code_artifact_cleanup,.jsonl,data,15
cleanup_20260506_final_code_artifact_cleanup,.jsonl,result,10
cleanup_20260506_final_code_artifact_cleanup,.md,paper,42
cleanup_20260506_final_code_artifact_cleanup,.md,source,164
cleanup_20260506_final_code_artifact_cleanup,.pdf,paper,1
cleanup_20260506_final_code_artifact_cleanup,.png,figure,3
cleanup_20260506_final_code_artifact_cleanup,.py,source,297
cleanup_20260506_final_code_artifact_cleanup,.sh,source,2
cleanup_20260506_final_code_artifact_cleanup,.txt,environment,4
cleanup_20260506_final_code_artifact_cleanup,.xlsx,unknown,3
cleanup_20260506_final_code_artifact_cleanup,.yml,source,1
cleanup_20260506_final_code_artifact_cleanup,.zip,archive,1
cleanup_20260506_final_code_artifact_cleanup,no-extension,unknown,13
deleted_from_head,.aux,paper,3
deleted_from_head,.blg,paper,3
deleted_from_head,.log,log,25
deleted_from_head,.log,paper,3
deleted_from_head,.md,paper,5
deleted_from_head,.md,source,17
deleted_from_head,.out,paper,3
deleted_from_head,.pid,unknown,2
deleted_from_head,.pyc,cache,6
deleted_from_head,.tex,paper,10
deleted_from_head,.toc,paper,1
deleted_from_head,no-extension,paper,1
deleted_from_head,no-extension,unknown,1
moved_from_repo,.bbl,paper,3
moved_from_repo,.bib,paper,6
moved_from_repo,.bin,cache,52
moved_from_repo,.csv,data,3
moved_from_repo,.csv,result,3
moved_from_repo,.gz,archive,1
moved_from_repo,.ipynb,notebook,8
moved_from_repo,.json,unknown,3
moved_from_repo,.jsonl,data,12
moved_from_repo,.md,paper,4
moved_from_repo,.md,source,21
moved_from_repo,.parquet,data,1
moved_from_repo,.pdf,figure,4
moved_from_repo,.pdf,paper,40
moved_from_repo,.png,figure,4
moved_from_repo,.py,source,45
moved_from_repo,.sh,source,14
moved_from_repo,.sqlite3,cache,1
moved_from_repo,.sty,paper,1
moved_from_repo,.tex,paper,113
moved_from_repo,.toml,environment,1
moved_from_repo,.txt,environment,4
moved_from_repo,.yaml,source,2
moved_from_repo,.yml,paper,1
moved_from_repo,.zip,archive,2
moved_from_repo,.zip,paper,4
moved_from_repo,no-extension,cache,1
moved_from_repo,no-extension,paper,1
moved_from_repo,no-extension,source,2
moved_from_repo,no-extension,unknown,5
rag-hallucination-detection_main,.aux,unknown,1
rag-hallucination-detection_main,.bbl,unknown,1
rag-hallucination-detection_main,.bib,paper,1
rag-hallucination-detection_main,.blg,unknown,1
rag-hallucination-detection_main,.csv,data,1
rag-hallucination-detection_main,.csv,result,67
rag-hallucination-detection_main,.idx,unknown,2
rag-hallucination-detection_main,.json,unknown,1
rag-hallucination-detection_main,.jsonl,data,5
rag-hallucination-detection_main,.log,log,1
rag-hallucination-detection_main,.md,source,25
rag-hallucination-detection_main,.out,log,1
rag-hallucination-detection_main,.pack,unknown,2
rag-hallucination-detection_main,.pdf,figure,4
rag-hallucination-detection_main,.pdf,paper,1
rag-hallucination-detection_main,.png,figure,3
rag-hallucination-detection_main,.py,source,99
rag-hallucination-detection_main,.rev,unknown,2
rag-hallucination-detection_main,.sample,unknown,14
rag-hallucination-detection_main,.sh,source,1
rag-hallucination-detection_main,.sty,paper,1
rag-hallucination-detection_main,.tex,paper,4
rag-hallucination-detection_main,.txt,environment,2
rag-hallucination-detection_main,.zip,archive,1
rag-hallucination-detection_main,no-extension,environment,1
rag-hallucination-detection_main,no-extension,log,4
rag-hallucination-detection_main,no-extension,unknown,28
