source_folder,relative_path,size_bytes,sha256,safe_to_publish,proposed_action,action_reason,secret_findings
cleanup_20260506_final_code_artifact_cleanup,.DS_Store,10244,b3ddcbf274ecd5794787483d37dc205d288e132f34bd72cbba4e2cb2280fc313,no,exclude,operating-system metadata,
cleanup_20260506_final_code_artifact_cleanup,CLEANUP_PLAN.md,4398,15ffb0debe060206354d3ec0db7bb72b3fa2645d6b4042f1179e284725185cb4,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/.DS_Store,8196,ff07b17ddf2db5a1d9ccd4b18392ec62953dfc2df4a3597bc55362c5e7d1a7d7,no,exclude,operating-system metadata,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/CLAIMS_AUDIT.md,4133,6e21a850d08cf99142d059145c3d05f97e7c8661d8d1babac7413a00efd0f9ed,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/README.md,1778,352968933ac409eb6c6048f706cbd385d8a2d40920ba5f14301262185a9345c4,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/README_REPRODUCE.md,3461,cd57821b890efc7b95aeb1e5470212aee4383a1b52545a15d6fc59e30c68213e,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/SOURCE_TRACE.md,2924,307bb760ddc8307f2adf118253ec6c4b55cf1e1f4fb8fa3e22f6180cfd8743ca,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/artifact_manifest.md,2992,56994b715cbad5fc6b58df1415e4c18bc7e94a30eb7fa1607fd00c8695707d92,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/controlledrag_reporting_checklist.md,3016,f8e595287e8a52cdb3ba24c787283a9aea4232c513c2b62c6db9f58d33593366,yes,include,publication-safe under automated gate,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/.DS_Store,6148,a3c333ec5a2e9eab71da97ade3f2e56774d9361a6aaf13ab37393fd1262d73c0,no,exclude,operating-system metadata,
cleanup_20260506_final_code_artifact_cleanup,prior_reviewer_artifact_snapshot/data/adversarial/README.md,2564,30d041d1f70d2b3a43d7b00fcced2a1a2717ffcb58609072327ffcaec1e158af,yes,include,publication-safe under automated gate,
