model,dataset,chunk_size,top_k,prompt_strategy,nli_faithfulness,hallucination_rate,n_samples
mistral,squad,1024,3,strict,0.7775,0.03,100
llama3,squad,1024,5,strict,0.7752,0.0,100
mistral,squad,512,5,strict,0.7718,0.04,100
mistral,squad,1024,5,cot,0.7696,0.04,100
llama3,squad,1024,3,strict,0.769,0.02,100
llama3,squad,512,5,strict,0.7663,0.02,100
mistral,squad,1024,3,cot,0.7628,0.05,100
mistral,squad,1024,5,strict,0.7606,0.03,100
mistral,squad,256,5,strict,0.757,0.07,100
mistral,squad,512,3,strict,0.7565,0.05,100
llama3,squad,512,5,cot,0.7536,0.01,100
mistral,squad,512,5,cot,0.7518,0.03,100
llama3,squad,512,3,strict,0.7518,0.03,100
llama3,squad,1024,5,cot,0.751,0.01,100
llama3,squad,256,5,strict,0.7474,0.04,100
llama3,squad,1024,3,cot,0.7412,0.01,100
llama3,squad,512,3,cot,0.7403,0.01,100
mistral,squad,512,3,cot,0.7391,0.06,100
llama3,squad,256,5,cot,0.7315,0.06,100
mistral,squad,256,3,strict,0.7184,0.08,100
mistral,squad,256,5,cot,0.7165,0.11,100
llama3,squad,256,3,strict,0.7105,0.02,100
mistral,squad,256,3,cot,0.7074,0.07,100
llama3,squad,256,3,cot,0.6843,0.06,100
llama3,pubmedqa,256,5,strict,0.6233,0.1,50
llama3,pubmedqa,256,3,cot,0.6199,0.14,50
llama3,pubmedqa,256,5,cot,0.6158,0.14,50
llama3,pubmedqa,256,3,strict,0.6015,0.26,50
mistral,pubmedqa,256,3,cot,0.6004,0.2,50
mistral,pubmedqa,1024,3,strict,0.5998,0.16,50
mistral,pubmedqa,1024,3,cot,0.5978,0.24,50
mistral,pubmedqa,512,5,cot,0.5967,0.22,50
llama3,pubmedqa,512,3,strict,0.5958,0.18,50
llama3,pubmedqa,1024,5,cot,0.5899,0.16,50
llama3,pubmedqa,512,5,cot,0.5894,0.1,50
mistral,pubmedqa,512,3,strict,0.589,0.3,50
llama3,pubmedqa,1024,3,cot,0.5886,0.16,50
llama3,pubmedqa,1024,3,strict,0.5868,0.16,50
llama3,pubmedqa,512,3,cot,0.5858,0.2,50
mistral,pubmedqa,256,5,strict,0.5852,0.24,50
llama3,pubmedqa,1024,5,strict,0.5817,0.26,50
mistral,pubmedqa,256,3,strict,0.5716,0.24,50
llama3,pubmedqa,512,5,strict,0.5694,0.28,50
mistral,pubmedqa,512,5,strict,0.569,0.3,50
mistral,pubmedqa,1024,5,strict,0.5649,0.32,50
mistral,pubmedqa,1024,5,cot,0.5647,0.3,50
mistral,pubmedqa,512,3,cot,0.5644,0.32,50
mistral,pubmedqa,256,5,cot,0.5618,0.38,50
