phase,model,dataset,chunk_size,top_k,prompt_strategy,chunking_strategy,condition,nli_faithfulness,hallucination_rate,n_samples
phase1_ablation,mistral,squad,256,3,strict,fixed,baseline,0.6732,0.1,30
phase1_ablation,mistral,squad,256,3,cot,fixed,baseline,0.6835,0.0667,30
phase1_ablation,mistral,squad,256,5,strict,fixed,baseline,0.7254,0.1,30
phase1_ablation,mistral,squad,256,5,cot,fixed,baseline,0.7253,0.1,30
phase1_ablation,mistral,squad,512,3,strict,fixed,baseline,0.7827,0.0,30
phase1_ablation,mistral,squad,512,3,cot,fixed,baseline,0.7781,0.0,30
phase1_ablation,mistral,squad,512,5,strict,fixed,baseline,0.7861,0.0333,30
phase1_ablation,mistral,squad,512,5,cot,fixed,baseline,0.7737,0.0667,30
phase1_ablation,mistral,squad,1024,3,strict,fixed,baseline,0.8001,0.0333,30
phase1_ablation,mistral,squad,1024,3,cot,fixed,baseline,0.7891,0.0,30
phase1_ablation,mistral,squad,1024,5,strict,fixed,baseline,0.8274,0.0333,30
phase1_ablation,mistral,squad,1024,5,cot,fixed,baseline,0.8254,0.0333,30
phase1_ablation,mistral,pubmedqa,256,3,strict,fixed,baseline,0.5591,0.3,30
phase1_ablation,mistral,pubmedqa,256,3,cot,fixed,baseline,0.5802,0.2,30
phase1_ablation,mistral,pubmedqa,256,5,strict,fixed,baseline,0.5585,0.3,30
phase1_ablation,mistral,pubmedqa,256,5,cot,fixed,baseline,0.5636,0.2667,30
phase1_ablation,mistral,pubmedqa,512,3,strict,fixed,baseline,0.6028,0.1667,30
phase1_ablation,mistral,pubmedqa,512,3,cot,fixed,baseline,0.6196,0.1333,30
phase1_ablation,mistral,pubmedqa,512,5,strict,fixed,baseline,0.5844,0.2,30
phase1_ablation,mistral,pubmedqa,512,5,cot,fixed,baseline,0.5906,0.1333,30
phase1_ablation,mistral,pubmedqa,1024,3,strict,fixed,baseline,0.5963,0.2,30
phase1_ablation,mistral,pubmedqa,1024,3,cot,fixed,baseline,0.6167,0.1,30
phase1_ablation,mistral,pubmedqa,1024,5,strict,fixed,baseline,0.5849,0.1667,30
phase1_ablation,mistral,pubmedqa,1024,5,cot,fixed,baseline,0.5881,0.1333,30
phase2_multimodel,mistral,pubmedqa,256,3,cot,fixed,baseline,0.6004,0.2,50
phase2_multimodel,mistral,pubmedqa,1024,3,strict,fixed,baseline,0.5998,0.16,50
phase2_multimodel,mistral,pubmedqa,1024,3,cot,fixed,baseline,0.5978,0.24,50
phase2_multimodel,mistral,pubmedqa,512,5,cot,fixed,baseline,0.5967,0.22,50
phase2_multimodel,mistral,pubmedqa,512,3,strict,fixed,baseline,0.589,0.3,50
phase2_multimodel,mistral,pubmedqa,256,5,strict,fixed,baseline,0.5852,0.24,50
phase2_multimodel,mistral,pubmedqa,256,3,strict,fixed,baseline,0.5716,0.24,50
phase2_multimodel,mistral,pubmedqa,512,5,strict,fixed,baseline,0.569,0.3,50
phase2_multimodel,mistral,pubmedqa,1024,5,strict,fixed,baseline,0.5649,0.32,50
phase2_multimodel,mistral,pubmedqa,1024,5,cot,fixed,baseline,0.5647,0.3,50
phase2_multimodel,mistral,pubmedqa,512,3,cot,fixed,baseline,0.5644,0.32,50
phase2_multimodel,mistral,pubmedqa,256,5,cot,fixed,baseline,0.5618,0.38,50
