condition,faithfulness_score,is_hallucination,total_latency_ms,dataset,base_index_s,raptor_index_s
hcpc_v2,0.8579,False,1810.946,squad,8.01,175.354
crag,0.7354,False,1088.067,squad,8.01,175.354
raptor_2l,0.7354,False,1439.436,squad,8.01,175.354
hcpc_v2,0.813,False,918.95,squad,8.01,175.354
crag,0.8891,False,1142.909,squad,8.01,175.354
raptor_2l,0.8891,False,1678.128,squad,8.01,175.354
hcpc_v2,0.9533,False,1113.225,squad,8.01,175.354
crag,0.9533,False,1242.449,squad,8.01,175.354
raptor_2l,0.9516,False,1617.56,squad,8.01,175.354
hcpc_v2,0.9247,False,827.323,squad,8.01,175.354
crag,0.9247,False,880.463,squad,8.01,175.354
raptor_2l,0.9247,False,1316.133,squad,8.01,175.354
hcpc_v2,1.0,False,377.71,squad,8.01,175.354
crag,1.0,False,376.889,squad,8.01,175.354
raptor_2l,1.0,False,900.381,squad,8.01,175.354
hcpc_v2,0.7738,False,1679.663,squad,8.01,175.354
crag,0.5107,False,2071.452,squad,8.01,175.354
raptor_2l,0.8925,False,1441.571,squad,8.01,175.354
hcpc_v2,0.884,False,1373.263,squad,8.01,175.354
crag,0.7623,False,1730.781,squad,8.01,175.354
raptor_2l,0.8967,False,1446.241,squad,8.01,175.354
hcpc_v2,0.697,False,1717.296,squad,8.01,175.354
crag,0.697,False,1398.827,squad,8.01,175.354
raptor_2l,0.6259,False,1865.526,squad,8.01,175.354
hcpc_v2,0.7738,False,1989.956,squad,8.01,175.354
crag,0.5107,False,2155.648,squad,8.01,175.354
raptor_2l,0.8925,False,1522.761,squad,8.01,175.354
hcpc_v2,0.982,False,882.99,squad,8.01,175.354
crag,0.982,False,518.521,squad,8.01,175.354
raptor_2l,0.982,False,803.089,squad,8.01,175.354
hcpc_v2,0.8567,False,1251.03,squad,8.01,175.354
crag,0.8567,False,1042.345,squad,8.01,175.354
raptor_2l,0.8567,False,1514.432,squad,8.01,175.354
hcpc_v2,0.9247,False,1114.842,squad,8.01,175.354
crag,0.9247,False,786.15,squad,8.01,175.354
raptor_2l,0.9247,False,1306.577,squad,8.01,175.354
hcpc_v2,0.6918,False,1370.045,squad,8.01,175.354
crag,0.6918,False,1136.819,squad,8.01,175.354
raptor_2l,0.793,False,1220.207,squad,8.01,175.354
hcpc_v2,0.9421,False,1571.224,squad,8.01,175.354
crag,0.4784,True,646.852,squad,8.01,175.354
raptor_2l,0.5782,False,1664.836,squad,8.01,175.354
hcpc_v2,0.4443,True,1710.157,squad,8.01,175.354
crag,0.5494,False,1204.582,squad,8.01,175.354
raptor_2l,0.5494,False,1728.014,squad,8.01,175.354
hcpc_v2,0.6644,False,1304.187,squad,8.01,175.354
crag,0.6644,False,1048.575,squad,8.01,175.354
raptor_2l,0.7112,False,1592.043,squad,8.01,175.354
hcpc_v2,0.7652,False,3328.423,squad,8.01,175.354
crag,0.672,False,2921.419,squad,8.01,175.354
raptor_2l,0.7632,False,1455.663,squad,8.01,175.354
hcpc_v2,0.9421,False,1508.717,squad,8.01,175.354
crag,0.4784,True,636.662,squad,8.01,175.354
raptor_2l,0.5782,False,1616.349,squad,8.01,175.354
hcpc_v2,0.5799,False,518.686,squad,8.01,175.354
crag,0.5799,False,669.158,squad,8.01,175.354
raptor_2l,0.793,False,1232.416,squad,8.01,175.354
hcpc_v2,0.8695,False,2154.453,squad,8.01,175.354
crag,0.8873,False,1350.59,squad,8.01,175.354
raptor_2l,0.7805,False,1760.776,squad,8.01,175.354
hcpc_v2,0.945,False,1097.45,squad,8.01,175.354
crag,0.945,False,1224.886,squad,8.01,175.354
raptor_2l,0.6229,False,1247.102,squad,8.01,175.354
hcpc_v2,0.9731,False,1205.011,squad,8.01,175.354
crag,0.6406,False,2201.895,squad,8.01,175.354
raptor_2l,1.0,False,1046.754,squad,8.01,175.354
hcpc_v2,0.6101,False,929.606,squad,8.01,175.354
crag,0.6101,False,733.237,squad,8.01,175.354
raptor_2l,0.6101,False,1065.378,squad,8.01,175.354
hcpc_v2,0.806,False,1011.794,squad,8.01,175.354
crag,0.806,False,908.619,squad,8.01,175.354
raptor_2l,0.7093,False,1481.09,squad,8.01,175.354
hcpc_v2,0.9247,False,1065.624,squad,8.01,175.354
crag,0.9247,False,745.552,squad,8.01,175.354
raptor_2l,0.9247,False,1274.602,squad,8.01,175.354
hcpc_v2,0.6757,False,1137.697,squad,8.01,175.354
crag,0.6757,False,1072.533,squad,8.01,175.354
raptor_2l,0.6757,False,1523.669,squad,8.01,175.354
hcpc_v2,0.9247,False,656.624,squad,8.01,175.354
crag,0.9247,False,893.25,squad,8.01,175.354
raptor_2l,0.9247,False,1347.796,squad,8.01,175.354
hcpc_v2,0.9411,False,1230.099,squad,8.01,175.354
crag,0.9411,False,1268.278,squad,8.01,175.354
raptor_2l,0.9411,False,1659.847,squad,8.01,175.354
hcpc_v2,0.6293,False,556.099,squad,8.01,175.354
crag,0.7164,False,1777.362,squad,8.01,175.354
raptor_2l,0.6706,False,1766.302,squad,8.01,175.354
hcpc_v2,0.6985,False,702.423,squad,8.01,175.354
crag,0.5273,False,3336.504,squad,8.01,175.354
raptor_2l,0.6871,False,1751.388,squad,8.01,175.354
hcpc_v2,0.7602,False,1999.669,squad,8.01,175.354
