experiment,condition_label,paradox,v2_recovery,n_queries,latency_s,noise_slope
crossencoder,pubmedqa × bge-reranker-base,0.0456,0.0453,,,
crossencoder,pubmedqa × ms-marco-MiniLM-L-12-v2,0.0516,0.0465,,,
crossencoder,pubmedqa × ms-marco-MiniLM-L-6-v2,0.0489,0.0348,,,
crossencoder,squad × bge-reranker-base,0.0769,0.0787,,,
crossencoder,squad × ms-marco-MiniLM-L-12-v2,0.1128,0.1222,,,
crossencoder,squad × ms-marco-MiniLM-L-6-v2,0.0707,0.0861,,,
frontier,pubmedqa × gpt-oss-120b (120B),0.0125,0.0007,,,
frontier,pubmedqa × llama-3.3-70b (70B),0.005,0.0307,,,
frontier,squad × gpt-oss-120b (120B),0.0299,0.026,,,
frontier,squad × llama-3.3-70b (70B),0.1,0.0914,,,
multidataset,hotpotqa × llama3,0.0522,0.036,30.0,,
multidataset,hotpotqa × mistral,-0.0104,-0.0114,30.0,,
multidataset,hotpotqa × qwen2.5,0.0145,0.0119,30.0,,
multidataset,naturalqs × llama3,0.0377,0.0246,30.0,,
multidataset,naturalqs × mistral,0.036,0.0395,30.0,,
multidataset,naturalqs × qwen2.5,0.0005,0.0231,30.0,,
multidataset,pubmedqa × llama3,-0.0074,-0.0081,30.0,,
multidataset,pubmedqa × mistral,0.0247,0.019,30.0,,
multidataset,pubmedqa × qwen2.5,-0.0183,-0.0149,30.0,,
multidataset,squad × llama3,0.1094,0.1057,30.0,,
multidataset,squad × mistral,0.0999,0.0875,30.0,,
multidataset,squad × qwen2.5,0.1462,0.1415,30.0,,
multidataset,triviaqa × llama3,-0.0053,-0.0132,30.0,,
multidataset,triviaqa × mistral,-0.0276,-0.0071,30.0,,
multidataset,triviaqa × qwen2.5,0.0265,0.0265,30.0,,
noise,hotpotqa: paradox vs noise,-0.0104,,,,0.0402
noise,pubmedqa: paradox vs noise,0.0247,,,,0.0255
noise,squad: paradox vs noise,0.0999,,,,-0.1542
quantization,pubmedqa × q4_0,0.02,-0.0018,,8.62,
quantization,pubmedqa × q5_K_M,-0.0037,-0.0105,,18.01,
quantization,pubmedqa × q8_0,-0.0005,-0.012,,13.73,
quantization,squad × q4_0,0.0948,0.0867,,2.72,
quantization,squad × q5_K_M,0.0882,0.0851,,5.16,
quantization,squad × q8_0,0.0927,0.077,,5.62,
raptor,hotpotqa: HCPC-v1 vs RAPTOR,,,,,
raptor,pubmedqa: HCPC-v1 vs RAPTOR,,,,,
raptor,squad: HCPC-v1 vs RAPTOR,,,,,
subchunk,pubmedqa × sub=128,0.0523,,,,
subchunk,pubmedqa × sub=256,0.0502,,,,
subchunk,pubmedqa × sub=512,0.018,,,,
subchunk,squad × sub=128,0.0645,,,,
subchunk,squad × sub=256,0.0999,,,,
subchunk,squad × sub=512,0.0276,,,,
temperature,pubmedqa × T=0.0,0.0485,0.0547,,,
temperature,pubmedqa × T=0.3,0.043,0.0283,,,
temperature,pubmedqa × T=0.7,0.0379,0.0422,,,
temperature,pubmedqa × T=1.0,0.0433,0.0117,,,
temperature,squad × T=0.0,0.0654,0.0695,,,
temperature,squad × T=0.3,0.0611,0.0586,,,
temperature,squad × T=0.7,0.0759,0.1298,,,
temperature,squad × T=1.0,0.1145,0.107,,,
topk,pubmedqa × k=10,-0.0011,-0.0074,,,
topk,pubmedqa × k=2,0.0451,0.0401,,,
topk,pubmedqa × k=3,0.0378,0.0229,,,
topk,pubmedqa × k=5,0.0248,0.028,,,
topk,squad × k=10,0.117,0.1203,,,
topk,squad × k=2,0.0633,0.0624,,,
topk,squad × k=3,0.0689,0.0724,,,
topk,squad × k=5,0.1236,0.1389,,,
