dataset,seed,contrast,n_pairs,mean_diff,boot_ci95_lo,boot_ci95_hi,wilcoxon_stat,wilcoxon_p,cohens_dz
squad,41,baseline_minus_v1,500,0.010664,-0.002225,0.023883,48323.0,0.08299507233807096,0.071533
squad,41,v2_minus_v1,500,0.013185,-0.000201,0.026315,49293.5,0.025427326672812445,0.087813
squad,41,baseline_minus_v2,500,-0.002521,-0.008419,0.00334,4245.5,0.24243905221840578,-0.037606
squad,42,baseline_minus_v1,500,0.006278,-0.006739,0.018998,45365.0,0.23383810410169759,0.043136
squad,42,v2_minus_v1,500,0.003037,-0.009987,0.015967,42926.0,0.5043396190086064,0.020869
squad,42,baseline_minus_v2,500,0.003241,-0.00148,0.00809,3342.5,0.1842166927458575,0.059109
squad,43,baseline_minus_v1,499,0.007796,-0.004504,0.020382,46325.0,0.173763569088911,0.054896
squad,43,v2_minus_v1,499,0.005949,-0.006333,0.018181,45739.0,0.21463948083951162,0.042403
squad,43,baseline_minus_v2,499,0.001847,-0.003824,0.007717,4281.0,0.6951371131527371,0.028331
squad,44,baseline_minus_v1,500,0.020443,0.006755,0.033673,50880.0,0.008162895394421896,0.134147
squad,44,v2_minus_v1,500,0.019075,0.005402,0.032284,50408.5,0.008218883063177404,0.126494
squad,44,baseline_minus_v2,500,0.001369,-0.004011,0.006809,3666.0,0.8270768068666063,0.022105
squad,45,baseline_minus_v1,500,0.007287,-0.005987,0.020526,47151.0,0.20266272537236235,0.047531
squad,45,v2_minus_v1,500,0.012466,-0.001074,0.025602,48690.0,0.03578913172834681,0.081306
squad,45,baseline_minus_v2,500,-0.005178,-0.011122,0.000409,3310.0,0.12207587116542072,-0.078564
