panel,scorer,metric,estimate,ci_lower,ci_upper,n,endpoint,positive_label,indeterminate_excluded,ci_source
n99_typical,legacy_deberta_proxy,pearson,0.110258165,-0.045489000,0.252427000,99,adjudicated_ordinal,,0,submitted_fixed_output_10000_bootstrap_seed_20260429
n99_typical,legacy_deberta_proxy,spearman,0.103023111,-0.083978000,0.279126000,99,adjudicated_ordinal,,0,submitted_fixed_output_10000_bootstrap_seed_20260429
n99_typical,legacy_deberta_proxy,kendall,0.083292244,,,99,adjudicated_ordinal,,0,
n99_typical,legacy_second_nli_proxy,pearson,0.403683282,0.236894000,0.542764000,99,adjudicated_ordinal,,0,submitted_fixed_output_10000_bootstrap_seed_20260429
n99_typical,legacy_second_nli_proxy,spearman,0.393968741,0.222611000,0.541082000,99,adjudicated_ordinal,,0,submitted_fixed_output_10000_bootstrap_seed_20260429
n99_typical,legacy_second_nli_proxy,kendall,0.325169999,,,99,adjudicated_ordinal,,0,
n99_typical,ragas_style_judge,pearson,0.449565578,0.245765000,0.621632000,99,adjudicated_ordinal,,0,submitted_fixed_output_10000_bootstrap_seed_20260429
n99_typical,ragas_style_judge,spearman,0.548699277,0.375420000,0.710921000,99,adjudicated_ordinal,,0,submitted_fixed_output_10000_bootstrap_seed_20260429
n99_typical,ragas_style_judge,kendall,0.527443221,,,99,adjudicated_ordinal,,0,
n100_disagreement_targeted,legacy_deberta_proxy,pearson,-0.187764391,-0.356948096,-0.019766582,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_deberta_proxy,spearman,-0.156044652,-0.331420039,0.032077733,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_deberta_proxy,kendall,-0.130578393,-0.284252641,0.028165712,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_second_nli_proxy,pearson,0.380276045,0.217817023,0.523497019,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_second_nli_proxy,spearman,0.446431774,0.292897186,0.581436742,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_second_nli_proxy,kendall,0.369271029,0.239917230,0.487406490,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,ragas_style_judge,pearson,0.365991926,0.213154431,0.503443252,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,ragas_style_judge,spearman,0.384276654,0.240956082,0.522722820,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,ragas_style_judge,kendall,0.378995403,0.239023956,0.513211206,100,adjudicated_ordinal,,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_deberta_proxy,auroc,0.397609148,0.273092613,0.513881476,100,adjudicated_binary,faithful=1,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_deberta_proxy,average_precision,0.764812671,0.670051310,0.852382605,100,adjudicated_binary,faithful=1,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_second_nli_proxy,auroc,0.793659044,0.698863949,0.878940838,100,adjudicated_binary,faithful=1,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,legacy_second_nli_proxy,average_precision,0.928793257,0.880716221,0.963276193,100,adjudicated_binary,faithful=1,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,ragas_style_judge,auroc,0.717515593,0.637444554,0.793012274,100,adjudicated_binary,faithful=1,0,submitted_fixed_output_1000_bootstrap
n100_disagreement_targeted,ragas_style_judge,average_precision,0.859366825,0.793095458,0.913531295,100,adjudicated_binary,faithful=1,0,submitted_fixed_output_1000_bootstrap
n99_typical,legacy_deberta_proxy,auroc,0.645569620,0.414634146,0.878048780,83,secondary_determinate_binary,supported=1,16,prompt03_10000_bootstrap_seed_20260744;valid=9814
n99_typical,legacy_deberta_proxy,average_precision,0.976964565,0.946347442,0.997313106,83,secondary_determinate_binary,supported=1,16,prompt03_10000_bootstrap_seed_20260745;valid=9849
n99_typical,legacy_second_nli_proxy,auroc,0.924050633,0.838461538,0.987448576,83,secondary_determinate_binary,supported=1,16,prompt03_10000_bootstrap_seed_20260744;valid=9814
n99_typical,legacy_second_nli_proxy,average_precision,0.996092383,0.989477519,0.999702514,83,secondary_determinate_binary,supported=1,16,prompt03_10000_bootstrap_seed_20260745;valid=9849
n99_typical,ragas_style_judge,auroc,0.917721519,0.875000000,0.956250000,83,secondary_determinate_binary,supported=1,16,prompt03_10000_bootstrap_seed_20260744;valid=9814
n99_typical,ragas_style_judge,average_precision,0.992069544,0.981135067,0.998236850,83,secondary_determinate_binary,supported=1,16,prompt03_10000_bootstrap_seed_20260745;valid=9849
